Condition;area (px^2);short axis length (px);orientation
A02;1899;40.42372952;67.88322918
A02;1440;35.56078938;-73.65950182
A02;2815;53.30606797;-86.27200037
A02;1820;37.77478905;64.58031468
A02;1303;35.93057009;-7.691331949
A02;1528;36.36700819;70.22100548
A02;1607;41.45392273;-41.25889649
A02;1422;37.10646265;-9.190189112
A02;1365;41.06822188;34.03730576
A02;1164;34.17190026;-49.70481383
A02;1464;36.1119068;84.73474368
A02;1575;37.46993448;50.52325466
A02;1529;31.24618524;35.88791324
A02;1390;33.81770645;80.39696492
A02;1530;37.43346646;24.06050228
A02;1893;43.8704152;-21.29976824
A02;1519;38.91542772;18.46529823
A02;1836;41.29507914;47.32529255
A02;2532;44.53522752;16.06651883
A02;1328;36.64194281;37.25163297
A02;1556;42.27144642;75.8909561
A02;1318;36.90268136;-71.52377998
A02;2309;47.78402395;-24.31981009
A02;1389;32.23983985;-45.94646922
A02;1376;30.98879726;7.780957512
A02;1681;40.42980991;-76.45135349
A02;1577;34.84410908;76.31011305
A02;1602;37.74211998;27.4027053
A02;1538;40.57093252;-29.90024124
A02;2389;46.37188009;-72.37869222
A02;2556;52.65838052;13.4548801
A02;1614;40.8342629;-41.14942488
A02;1371;33.39565065;80.04423009
A02;1639;34.48688016;88.19902727
A02;1777;41.34418516;57.3093773
A02;1689;38.34956399;28.22025309
A02;1201;32.83792048;28.60018159
A02;1766;42.89529652;-71.02088667
A02;1283;31.74189446;-27.56561485
A02;1179;32.96290398;-87.77454512
A02;1714;41.37815852;-78.78427404
A02;2398;53.07971718;67.81641333
A02;1513;35.84716466;10.77298688
A02;1573;38.79107349;-46.71826105
A02;1694;43.7269362;-66.02149191
A02;1223;28.73731444;-62.62766221
A02;1133;29.58670477;-69.33186162
A02;1754;43.34343864;-65.41269234
A02;1372;35.24073894;67.41370372
A02;2309;49.68434044;84.25648086
A02;1231;30.1617988;-63.14456594
A02;1493;35.39214234;-3.264354308
A02;2604;49.8322568;-83.6590539
A02;1886;44.00898379;-29.80178871
A02;1667;39.7300313;-36.21348365
A02;2041;44.79608382;4.353838754
A02;1576;35.60601175;-81.90808374
A02;1768;33.01666647;65.27223862
A02;2054;48.69216126;-16.64800801
A02;1227;34.37669851;82.75899358
A02;1742;40.90082096;-38.75726122
A02;1907;41.92278894;-71.90240598
A02;1654;40.72536819;-55.89634689
A02;1523;40.09958932;50.62315846
A02;2120;40.62115022;51.58228288
A02;1953;40.25952978;-18.67198322
A02;1574;43.88568151;-19.3515667
A02;1567;40.18870238;-41.10785449
A02;1618;36.23288885;54.76959151
A02;2595;52.51735899;-7.31575009
A02;1811;41.26606115;6.54054804
A02;1572;38.91391347;-89.0651747
A02;2437;47.10823078;77.39672061
A02;1843;43.42013164;89.44578084
A02;1151;27.84330638;-25.2981502
A02;1346;33.23927441;-64.2166551
A02;3219;61.35739022;84.72279777
A02;1685;39.53677568;-70.19003622
A02;1433;37.20141136;15.50698454
A02;1353;33.57817564;45.12473258
A02;1879;36.90062945;37.69106065
A02;1251;36.7911981;30.02895971
A02;3020;58.39902744;10.07428569
A02;2864;59.28128117;-8.197344366
A02;1330;35.24445755;45.02361312
A02;1598;37.83896045;-84.66165127
A02;1703;37.71878348;58.52865363
A02;1423;34.05850209;-8.9456088
A02;2133;42.35075946;-1.765562635
A02;1269;34.78689395;80.39431062
A03;1696;39.75993835;-69.09591558
A03;1853;36.81800317;48.01056136
A03;1299;34.68816632;15.30698545
A03;1216;32.78144226;36.88092652
A03;1352;30.79419114;10.58331393
A03;2549;50.07378171;45.59283465
A03;2748;47.04628242;-8.83568968
A03;1685;38.19284079;-38.31205173
A03;1555;42.12224982;65.16561434
A03;2973;51.89939346;79.88165853
A03;1752;39.53291097;88.0639951
A03;1455;37.17108046;17.47226827
A03;1585;36.74013478;3.010940338
A03;1517;38.38162145;-89.5384569
A03;1515;32.120667;-72.1835282
A03;2005;38.55796107;55.69122323
A03;1540;35.74953978;-83.33092639
A03;1418;39.91971914;6.982153623
A03;1202;28.87660526;-9.251650513
A03;1790;40.87480791;-17.40747503
A03;1526;29.96572968;-3.810467569
A03;1040;31.31758132;1.104113494
A03;1890;40.25946469;-14.50977071
A03;1926;42.31328729;0.28821544
A03;2301;40.83184432;17.10331675
A03;1979;40.24864705;-48.56532178
A03;1735;38.00533928;-51.86918776
A03;1337;39.71687237;61.64482323
A03;1087;32.25101366;-86.86516697
A03;1447;37.31664313;-53.29339964
A03;1543;38.45041565;2.298838757
A03;1649;39.02241543;76.3637478
A03;1488;31.5601238;61.8190592
A03;1879;39.67083089;26.57499148
A03;1358;36.9750437;68.76582588
A03;934;29.80879313;69.47960218
A03;1522;38.66033437;36.47350591
A03;1837;42.26024149;69.77052844
A03;1678;36.33569184;-58.17913386
A03;1333;35.05111183;31.04910292
A03;1407;31.74606675;-11.44586649
A03;1943;40.41636123;17.88013709
A03;1731;36.41217762;62.81159869
A03;1487;32.75486964;-63.50437981
A03;1276;37.64077711;80.53838193
A03;1441;36.27100675;-52.93145074
A03;2238;45.95023561;17.90266768
A03;1826;37.20879747;59.97677727
A03;2369;42.54632694;25.8978275
A03;1456;31.56237149;-52.86381478
A03;1283;37.92668331;77.51747125
A03;2395;43.30989241;48.17614803
A03;2242;43.41102937;-23.63455232
A03;1502;35.99623506;40.00557915
A03;1885;38.69496784;-18.61017132
A03;1551;37.90498894;33.48734128
A03;1611;39.89133278;43.60206635
A03;2295;45.83610606;-26.12980348
A03;1533;34.75481453;8.660944813
A03;1667;35.28020247;15.32284677
A03;1548;38.96950582;60.0240148
A03;1791;34.12444401;14.08271679
A03;2170;39.33966003;4.111518936
A03;1906;37.97355542;22.45321678
A03;1466;35.64107789;-19.87691947
A03;1644;38.81397355;59.69317894
A03;1738;34.27172533;-52.87079661
A03;1568;37.90457396;-71.02871663
A03;1358;29.30386331;-55.07462024
A03;1724;33.95609418;-5.187998938
A03;1478;39.48760699;84.82978632
A03;1551;34.76635348;74.86364313
A03;1378;39.26951364;41.67885225
A03;1908;41.74867535;27.38485489
A03;2075;39.42060618;53.3970182
A03;1585;38.15415642;-32.32952876
A03;1685;37.61635905;35.25144793
A03;1576;40.57273282;66.5399381
A03;1981;46.43076354;67.61142164
A03;1439;37.587386;63.47767504
A03;1757;40.33214104;74.43034801
A03;2432;46.58731476;23.6725964
A03;1443;31.637454;31.53381116
A03;1814;39.93408368;-58.15367711
A03;862;26.2209219;-11.95886411
A03;1500;33.31964701;-50.05698445
A03;1460;31.07966076;-52.8977365
A03;1856;37.39921716;10.8488974
A03;1547;34.36478071;-84.87709311
A03;2228;44.65737525;0.575431548
A03;1623;41.45462417;-67.64548653
